PreparationProgram,College,Student,Scores
Three_hour_review,Business,Std1,500
Three_hour_review,Business,Std2,580
Three_hour_review,Engineering,Std3,540
Three_hour_review,Engineering,Std4,460
Three_hour_review,ArtsAndSciences,Std5,480
Three_hour_review,ArtsAndSciences,Std6,400
One_day_program,Business,Std7,460
One_day_program,Business,Std8,540
One_day_program,Engineering,Std9,560
One_day_program,Engineering,Std10,620
One_day_program,ArtsAndSciences,Std11,420
One_day_program,ArtsAndSciences,Std12,480
10_week_course,Business,Std13,560
10_week_course,Business,Std14,600
10_week_course,Engineering,Std15,600
10_week_course,Engineering,Std16,580
10_week_course,ArtsAndSciences,Std17,480
10_week_course,ArtsAndSciences,Std18,410
