AnnualSalary,ManagementTrainingProgram 
"49,094.30",Yes
"53,263.90",Yes
"49,643.50",Yes
"49,894.90",Yes
"47,621.60",No 
"55,924.00",Yes
"49,092.30",Yes
"51,404.40",Yes
"50,957.70",Yes
"55,109.70",Yes
"45,922.60",Yes
"57,268.40",No 
"55,688.80",Yes
"51,564.70",No 
"56,188.20",No 
"51,766.00",Yes
"52,541.30",Yes
"44,980.00",Yes
"51,932.60",Yes
"52,973.00",No 
"45,120.90",Yes
"51,753.00",Yes
"54,391.80",Yes
"50,164.20",Yes
"52,973.60",Yes
"50,241.30",Yes
"52,793.90",No 
"50,979.40",Yes
"55,860.90",No
"57,309.10",No 
